2021-11-26T09:35:55+00:00 CRITICAL syntax error, unexpected '>', expecting end of file dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 2

2021-11-26T10:00:40+00:00 CRITICAL syntax error, unexpected '}' dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 10

2021-11-26T11:02:55+00:00 CRITICAL syntax error, unexpected 'add_action' (T_STRING), expecting '{' dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 24

2021-11-26T11:04:55+00:00 CRITICAL syntax error, unexpected '}' dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:06:56+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:08:57+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:10:58+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:12:59+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:14:27+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:15:00+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:17:01+00:00 CRITICAL syntax error, unexpected 'return' (T_RETURN) dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 23

2021-11-26T11:18:37+00:00 CRITICAL syntax error, unexpected end of file dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 37

2021-11-26T11:19:02+00:00 CRITICAL syntax error, unexpected end of file dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 37

2021-11-26T11:21:03+00:00 CRITICAL syntax error, unexpected end of file dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\functions.php à la ligne 37

2021-11-26T13:35:23+00:00 CRITICAL syntax error, unexpected end of file dans C:\xampp\htdocs\wordpress\wp-content\themes\mytheme\header.php à la ligne 49

